,atom,residue,-10,-9,-8,-7,-6,-5,-4,-3
88,OB1,terA,-0.4409896416,-0.4520875588,-0.4697220696,-0.4868557006,-0.4986313716,-0.522210887,-0.597050716,-0.7808561205
89,OB2,terA,-0.4186236782,-0.425927387,-0.4335932041,-0.4404770993,-0.446970897,-0.4636235824,-0.5378793704,-0.7780510652
90,CB2,terA,0.2588016761,0.2606965108,0.2645932168,0.2705278365,0.2779693611,0.2967730293,0.3474712837,0.5110537829
91,CB3,terA,0.2300532277,0.2339402029,0.2357827415,0.2391973861,0.2433890114,0.2426197272,0.2606100097,0.3406515812
92,NB1,terA,-0.761820326,-0.770353254,-0.776429795,-0.7781004422,-0.7728474066,-0.7496623054,-0.6956136902,-0.557015865
93,HB1,terA,0.2842910118,0.286478984,0.2871472162,0.2854630672,0.2834509936,0.278136721,0.2614499971,0.2016064476
94,HB2,terA,0.2867591722,0.2897754474,0.2923363391,0.2935913575,0.2929053465,0.2863689714,0.2676725428,0.2084645745
95,CD6,terA,-0.1382848242,-0.1178213324,-0.1024509692,-0.1007265917,-0.1197495834,-0.1474620694,-0.1417145281,0.015418457
96,HD4,terA,0.1201868522,0.1122318594,0.1068638776,0.1054746298,0.1051734927,0.0975456073,0.0631890379,-0.0438928142
97,,,,,,,,,,
